id,participant_number,participant_group,age_range,education,consent_timestamp,started_at,completed_at,completed,trust_rating,self_reported_reliance,ai_surprise_strategy,total_cost,optimal_cost,session_id,current_trial_index,current_phase
cae71def-9cc7-4e42-a9c1-49b869aab24f,14,group_2,18-24,Bachelor's (in progress),2026-04-23T14:44:47.584277+00:00,2026-04-23T14:44:47.584277+00:00,,False,,,,,,29b00797-281d-487c-a8e0-fec8c8378d85,0,glossary
9c48ff41-cef8-454a-a341-711ee305dc24,8,group_2,35-44,High school,2026-04-22T21:10:26.779143+00:00,2026-04-22T21:10:26.779143+00:00,,False,,,,,,346362c7-0c6a-41d9-a76b-2dc894e9f481,0,quiz_retry
897c4437-4b30-4eb8-b82a-cf42bbbf1984,19,group_1,,,2026-04-24T08:56:51.096674+00:00,2026-04-24T08:56:51.096674+00:00,,False,,,,,,5eef40f8-97f3-4197-9d32-6440d2cd374c,0,demographics
cff649b5-16e7-41cd-b1dc-56b7c5606e84,15,group_3,25-34,Bachelor's (completed),2026-04-23T15:26:58.555551+00:00,2026-04-23T15:26:58.555551+00:00,,False,,,,,,73f45636-2e42-4f2e-b6ff-5dee73147b92,0,glossary
5a2fb462-180b-4db4-a6b8-8ff337ebcc8a,9,group_3,35-44,Bachelor's (in progress),2026-04-22T21:11:18.223893+00:00,2026-04-22T21:11:18.223893+00:00,,False,,,,,,da4f4597-7fa3-4d57-ba11-ef8d0bc6ee3f,0,quiz
3c80e1af-422f-40d9-9ba3-09108b1b5287,5,group_2,25-34,Bachelor's (in progress),2026-04-22T19:21:53.261193+00:00,2026-04-22T19:21:53.261193+00:00,,False,,,,,,c32f2bc8-4df2-4427-892e-399c8181a188,2,trial
0fe4aed8-d45c-44cc-9c62-48a894b4ba2b,28,group_1,55+,High school,2026-04-25T16:18:13.853675+00:00,2026-04-25T16:18:13.853675+00:00,,False,,,,,,6b58e914-9492-4f94-a7ac-eb7a09537c2a,7,trial
190473ad-81e1-4111-a63f-cd8cc9b38361,2,group_2,18-24,High school,2026-04-22T09:09:42.481905+00:00,2026-04-22T09:09:42.481905+00:00,2026-04-22T09:13:38.069597+00:00,True,2.0,Never,Went with the AI anyway,9000.0,6000.0,c006bb85-a07d-4bc0-a857-1d0ade2662a1,18,thank_you
3736f39f-60c3-4ab5-99d3-20b63aab56b6,6,group_3,25-34,Bachelor's (completed),2026-04-22T21:03:19.336608+00:00,2026-04-22T21:03:19.336608+00:00,2026-04-22T21:06:20.862774+00:00,True,1.0,Often,Stuck with my original judgment,8000.0,6000.0,f7ef48a9-02c7-4975-bdf2-c33092b5c86d,18,thank_you
d53edea9-9c7b-442e-89b5-59e34b9eaadc,20,group_2,,,2026-04-24T17:13:17.755849+00:00,2026-04-24T17:13:17.755849+00:00,,False,,,,,,3ac78a36-eb8a-4962-b754-fd36bb6eca14,0,glossary
cee5efb3-5e96-485b-bc24-c632ce714a5c,10,group_1,25-34,Bachelor's (in progress),2026-04-22T23:28:15.792396+00:00,2026-04-22T23:28:15.792396+00:00,,False,,,,,,cd35240a-3c53-43b0-b3f9-e1c882bdca07,0,quiz_retry
75538b8d-8ec0-446a-99de-30593024b929,16,group_1,35-44,Bachelor's (in progress),2026-04-23T15:30:03.059147+00:00,2026-04-23T15:30:03.059147+00:00,,False,,,,,,53321b05-328f-4b22-8537-632d52a21ebf,-2,trial
77ef046d-5278-4050-9abf-e139f443c2c0,23,group_2,45-54,Bachelor's (in progress),2026-04-25T14:22:44.049616+00:00,2026-04-25T14:22:44.049616+00:00,,False,,,,,,42ba3ee4-8517-4821-9628-0a07c7313eb5,2,trial
a7ab7213-9c8f-4dc4-822e-117b94abde19,21,group_3,35-44,Bachelor's (in progress),2026-04-24T17:13:31.758095+00:00,2026-04-24T17:13:31.758095+00:00,,False,,,,,,09f089f5-8048-47fd-ae2d-e7b4c402c06a,0,quiz
1fe02920-1875-40d9-ada6-295718bd826d,26,group_2,25-34,Bachelor's (in progress),2026-04-25T15:15:11.407146+00:00,2026-04-25T15:15:11.407146+00:00,,False,,,,,,e26de510-5edf-4679-bdb4-2affcac741e8,1,trial
962ba91a-5bba-46ec-9235-412e4dd20f93,22,group_1,,,2026-04-24T17:17:08.537609+00:00,2026-04-24T17:17:08.537609+00:00,,False,,,,,,e9678717-1d23-45ed-8518-85911cb04e6a,0,demographics
e7a2b776-fde7-4836-a834-86521e62747e,25,group_1,45-54,Bachelor's (completed),2026-04-25T14:27:05.344988+00:00,2026-04-25T14:27:05.344988+00:00,,False,,,,,,79c28243-595a-4491-8230-a2bed2e16eeb,5,trial
66f32868-b1c5-4dd1-ad88-af87b0161912,24,group_3,35-44,Bachelor's (in progress),2026-04-25T14:26:42.691802+00:00,2026-04-25T14:26:42.691802+00:00,,False,,,,,,e33a7a43-9657-45e1-b7c7-25f7572e75ff,0,practice_intro
